,2010-05-31,2010-06-30,2010-07-30,2010-08-31,2010-09-30,2010-10-29,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-29,2011-05-31,2011-06-30,2011-07-29,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-30,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-23,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-30,2020-12-31,2021-01-29,2021-02-26,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-30,2021-08-31,2021-09-30,2021-10-29,2021-11-30,2021-12-31,2022-01-28,2022-02-28,2022-03-31,2022-04-28
中债10年期国债指数,120.915,121.1128,121.5714,122.4348,121.7285,118.6841,116.2798,117.7238,117.1448,117.7553,118.5023,119.2516,119.8837,119.7151,118.5863,118.526,120.8977,122.1555,123.9995,123.9995,126.7546,125.9088,125.9088,126.5703,128.7714,129.5207,130.2095,129.8376,129.8376,128.7896,129.4904,129.5283,129.7529,130.2156,130.6155,130.6155,132.6586,132.2199,130.6725,128.2831,128.7203,127.6258,126.0062,124.8163,126.0079,127.6615,127.7873,128.9986,131.8568,132.7072,131.373,132.1324,134.6406,137.2502,139.9986,139.2365,141.0148,141.0148,140.1862,143.0557,141.59,141.9842,143.5033,145.1568,146.4019,148.9487,149.1416,152.0822,151.9894,152.3155,153.1616,152.549,152.6638,154.0545,155.1036,155.7129,156.2886,157.2774,155.1985,155.1985,152.0012,152.8523,153.1751,151.3832,150.0472,150.9574,150.9258,151.0101,151.0101,149.1485,149.5275,149.5275,149.8204,151.1982,152.6317,152.6317,155.4428,157.2294,157.7624,157.1231,157.1231,158.9942,160.9383,160.9383,164.8664,164.3909,165.5383,162.6698,164.4867,165.5503,166.9968,168.5754,167.8893,166.9589,168.8114,170.195,171.9008,175.0991,176.8773,179.3138,177.1937,175.5055,174.0478,173.6069,173.0063,173.191,172.9574,174.3147,174.3428,173.7199,175.1877,176.27,177.8684,177.9387,181.4279,181.7649,181.9326,181.1223,183.1215,184.3046,184.3046,185.315,185.4783,185.783
中债企业债AA+指数,114.847,115.2733,117.0814,118.0955,117.6487,116.3376,113.7572,114.3645,114.425,113.9751,114.5078,115.2474,116.0645,115.8294,114.7433,114.4454,114.0631,116.3415,117.6231,117.6231,120.5163,120.6062,120.6062,121.2037,125.1995,126.2586,126.8345,125.9264,125.9264,127.125,127.8726,128.3147,129.7216,130.9075,131.3408,131.3408,133.547,133.1255,132.7545,132.384,132.8715,132.5154,130.8929,130.9131,131.7428,134.6241,134.6559,136.6274,138.4992,140.0028,140.6055,142.185,143.3709,146.2749,147.9485,145.6346,147.6845,147.6845,147.8365,150.2197,151.8565,152.2746,154.6432,155.6484,156.6998,158.8422,158.7006,161.2621,161.9487,162.8391,163.8696,162.063,163.4035,164.6273,166.4047,167.3405,167.9517,168.5647,167.1571,167.1571,165.4014,165.2581,165.4002,164.8441,164.1041,166.7914,167.8594,167.6788,167.6788,168.9176,167.909,167.909,169.3163,170.4612,171.7891,171.7891,173.3739,173.3957,176.1688,177.1419,177.1419,179.6361,181.295,181.295,184.1104,184.8289,185.4035,185.171,186.721,187.4332,188.5539,189.9311,190.8724,191.1712,192.3306,193.3148,194.3358,196.6782,197.3381,199.3336,198.9996,198.1032,198.1921,198.6452,199.1525,200.1072,199.3037,200.5281,200.9544,201.5138,202.7161,203.8174,205.4778,206.191,208.5925,209.6881,209.8363,210.5364,212.1027,213.2584,213.2584,215.3181,215.1136,216.4737
偏股混合型基金,3699.5497,3479.2505,3771.1573,3984.7897,4086.0638,4357.0182,4389.8754,4350.9437,4116.7736,4335.021,4202.9995,4111.4161,3899.3127,4001.2234,4037.7225,3966.6355,3600.4172,3706.474,3619.1673,3363.3667,3304.7102,3526.6951,3383.9396,3522.4735,3592.0233,3508.6829,3373.1388,3281.3348,3355.6119,3335.9699,3126.7233,3485.9858,3642.4128,3726.3234,3655.2966,3629.8185,3959.0827,3643.1414,3770.3058,3863.2622,4044.7773,3863.7013,4008.0289,3929.9188,4049.9108,3997.9159,3811.8918,3759.1249,3793.8588,3883.8786,3976.3558,4070.9026,4348.1812,4359.8732,4597.0041,4803.9456,4976.8437,5282.5711,6094.4074,6833.7163,8018.6258,6876.373,6194.4274,5412.3931,5387.1247,6198.3693,6618.1126,6877.6981,5232.931,5122.6214,5815.9741,5774.0738,5780.5805,6057.5587,6017.9405,6155.338,6097.8223,6196.2226,6252.216,5981.8517,5924.9626,6082.0191,6152.6202,6107.0366,5943.9655,6282.5995,6344.5025,6508.943,6659.9458,6900.6969,6703.1803,6826.631,6925.7852,6698.9418,6678.3786,6474.7543,6599.096,6247.1945,6184.8432,5833.771,5838.801,5329.9888,5424.2374,5217.0191,5395.842,6105.6437,6580.2289,6531.0401,6208.3828,6483.2596,6640.4549,6843.1967,6924.334,7089.2286,7072.4286,7565.4773,7799.3019,8041.8085,7504.4837,8077.1325,8299.9615,9255.9609,10517.7345,10751.9866,10294.7584,10561.4229,10789.3401,11795.0759,12257.7712,11926.0963,11415.2648,11979.8754,12482.8332,12854.358,12634.8157,12757.5888,12452.38,12680.1493,12926.7153,12701.205,11429.8102,11547.1029,10581.1234,9561.3734
创业板指数,1000.0,919.314,968.431,1025.57,942.539,1064.522,1181.504,1137.662,1029.12,1099.776,1008.296,912.715,846.315,845.919,913.278,921.495,791.134,852.798,838.108,729.504,648.681,735.336,678.519,685.131,734.454,726.684,676.96,706.625,689.64,691.653,606.766,713.863,776.005,861.095,866.455,889.381,1073.023,1011.658,1134.015,1185.145,1367.912,1235.555,1366.834,1304.444,1495.978,1434.894,1327.8,1283.209,1318.127,1404.71,1344.544,1424.469,1540.874,1513.267,1570.851,1471.764,1680.58,1928.044,2335.171,2857.89,3542.844,2858.606,2539.844,1996.865,2082.673,2478.277,2672.581,2714.048,1994.065,1880.146,2238.286,2138.738,2159.8,2227.79,2122.412,2191.758,2149.901,2159.76,2183.049,1962.0587,1886.232,1927.1597,1907.3381,1850.7336,1763.7292,1818.0668,1736.3,1849.3789,1866.9817,1869.7873,1770.3016,1752.652,1735.057,1753.6274,1900.4817,1805.5958,1743.7426,1606.7147,1561.2576,1435.2005,1411.3398,1275.5743,1329.3885,1250.5254,1227.9878,1535.6804,1693.5475,1623.7819,1483.6576,1511.5071,1570.3934,1610.8982,1627.5454,1671.3122,1664.8963,1798.1181,1927.7418,2071.5665,1871.9174,2069.4321,2086.6658,2438.1967,2795.3998,2728.3134,2574.7583,2655.8646,2631.8893,2966.2563,3128.8649,2914.1127,2758.5015,3091.3952,3309.069,3477.1779,3440.1817,3214.1169,3244.6455,3350.665,3495.5926,3322.6725,2908.9448,2881.3065,2659.4925,2227.6548
IXIC.GI,2257.04,2109.24,2254.7,2114.03,2368.62,2507.41,2498.23,2652.87,2700.08,2782.27,2781.07,2873.54,2835.3,2773.52,2756.38,2579.46,2415.4,2684.41,2620.34,2605.15,2813.84,2966.89,3091.57,3046.36,2827.34,2935.05,2939.52,3066.97,3116.23,2977.23,3010.24,3019.51,3142.13,3160.19,3267.52,3328.79,3455.91,3403.25,3626.37,3589.87,3771.48,3919.71,4059.89,4176.59,4103.88,4308.12,4198.99,4114.56,4242.62,4408.18,4369.77,4580.27,4493.39,4630.74,4791.63,4736.05,4635.24,4963.53,4900.89,4941.42,5070.03,4986.87,5128.28,4776.51,4620.17,5053.75,5108.67,5007.41,4613.95,4557.95,4869.85,4775.36,4948.06,4842.67,5162.13,5213.22,5312.0,5189.14,5323.68,5383.12,5614.79,5825.44,5911.74,6047.61,6198.52,6140.42,6348.12,6428.66,6495.96,6727.67,6873.97,6903.39,7411.48,7273.01,7063.45,7066.27,7442.12,7510.3,7671.79,8109.54,8046.35,7305.9,7330.54,6635.28,7281.74,7532.53,7729.32,8095.39,7453.15,8006.24,8175.42,7962.88,7999.34,8292.36,8665.47,8972.6,9150.94,8567.37,7700.1,8889.55,9489.87,10058.77,10745.27,11775.46,11167.51,10911.59,12198.74,12888.28,13070.69,13192.35,13246.87,13962.68,13748.74,14503.95,14672.68,15259.24,14448.58,15498.39,15537.69,15644.97,14239.88,13751.4,14220.52,12488.93
SPX.GI,1089.41,1030.71,1101.6,1049.33,1141.2,1183.26,1180.55,1257.64,1286.12,1327.22,1325.83,1363.61,1345.2,1320.64,1292.28,1218.89,1131.42,1253.3,1246.96,1257.6,1312.41,1365.68,1408.47,1397.91,1310.33,1362.16,1379.32,1406.58,1440.67,1412.16,1416.18,1426.19,1498.11,1514.68,1569.19,1597.57,1630.74,1606.28,1685.73,1632.97,1681.55,1756.54,1805.81,1848.36,1782.59,1859.45,1872.34,1883.95,1923.57,1960.23,1930.67,2003.37,1972.29,2018.05,2067.56,2058.9,1994.99,2104.5,2067.89,2085.51,2107.39,2063.11,2103.84,1972.18,1920.03,2079.36,2080.41,2043.94,1940.24,1932.23,2059.74,2065.3,2096.96,2098.86,2173.6,2170.95,2168.27,2126.15,2198.81,2238.83,2278.87,2363.64,2362.72,2384.2,2411.8,2423.41,2470.3,2471.65,2519.36,2575.26,2647.58,2673.61,2823.81,2713.83,2640.87,2648.05,2705.27,2718.37,2816.29,2901.52,2913.98,2711.74,2760.17,2506.85,2704.1,2784.49,2834.4,2945.83,2752.06,2941.76,2980.38,2926.46,2976.74,3037.56,3140.98,3230.78,3225.52,2954.22,2584.59,2912.43,3044.31,3100.29,3271.12,3500.31,3363.0,3269.96,3621.63,3756.07,3714.24,3811.15,3972.89,4181.17,4204.11,4297.5,4395.26,4522.68,4307.54,4605.38,4567.0,4766.18,4515.55,4373.94,4530.41,4183.96
GDAXI.GI,5964.33,5965.52,6147.97,5925.22,6229.02,6601.37,6688.49,6914.19,7077.48,7272.32,7041.31,7514.46,7293.69,7376.24,7158.77,5784.85,5502.02,6141.34,6088.84,5898.35,6458.91,6856.08,6946.83,6761.19,6264.38,6416.28,6772.26,6970.79,7216.15,7260.63,7405.5,7612.39,7776.05,7741.7,7795.31,7913.71,8348.84,7959.22,8275.97,8103.15,8594.4,9033.92,9405.3,9552.16,9306.48,9692.08,9555.91,9603.23,9943.27,9833.07,9407.48,9470.17,9474.3,9326.87,9980.85,9805.55,10694.32,11401.66,11966.17,11454.38,11413.82,10944.97,11308.99,10259.46,9660.44,10850.14,11382.23,10743.01,9798.11,9495.4,9965.51,10038.97,10262.74,9680.09,10337.5,10592.69,10511.02,10665.01,10640.3,11481.06,11535.31,11834.41,12312.87,12438.01,12615.06,12325.12,12118.25,12055.84,12828.86,13229.57,13023.98,12917.64,13189.48,12435.85,12096.73,12612.11,12604.89,12306.0,12805.5,12364.06,12246.73,11447.51,11257.24,10558.96,11173.1,11515.64,11526.04,12344.08,11726.84,12398.8,12189.04,11939.28,12428.08,12866.79,13236.38,13249.01,12981.97,11890.35,9935.84,10861.64,11586.85,12310.93,12313.36,12945.38,12760.73,11560.51,13291.16,13718.78,13432.87,13786.29,15008.34,15135.91,15421.13,15531.04,15544.39,15835.09,15260.69,15688.77,15100.13,15884.86,15471.2,14461.02,14414.75,13793.94
SPTAUUSDOZ.IDC,1216.2,1242.25,1181.0,1247.45,1308.35,1359.4,1386.02,1420.78,1332.8,1411.48,1432.3,1563.7,1535.8,1500.35,1627.88,1825.72,1623.97,1714.85,1746.38,1563.7,1737.6,1696.85,1668.35,1664.75,1560.43,1597.4,1614.3,1692.01,1772.1,1720.65,1714.8,1675.35,1663.65,1579.58,1598.75,1476.75,1387.92,1234.57,1325.25,1395.15,1328.94,1323.1,1253.49,1205.65,1244.55,1326.44,1284.72,1291.52,1250.5,1326.43,1282.73,1287.01,1208.35,1172.59,1167.23,1183.8,1283.12,1213.06,1183.3,1183.97,1190.0,1172.75,1095.01,1134.35,1114.55,1141.59,1064.52,1061.08,1118.01,1237.97,1232.15,1292.77,1214.95,1321.51,1350.57,1308.9,1316.1,1276.75,1173.2,1151.1,1210.4,1248.14,1248.78,1267.91,1268.55,1241.33,1268.95,1320.65,1279.72,1270.65,1274.27,1302.63,1344.7,1317.81,1325.03,1315.5,1297.9,1252.4,1223.7,1201.5,1190.4,1215.0,1222.164,1282.2,1321.3,1313.15,1291.91,1283.4,1305.2,1409.1,1413.7,1520.34,1472.1,1512.9,1463.6,1517.176,1588.887,1585.824,1576.7,1684.8,1729.326,1780.5,1974.9,1967.4,1885.4,1877.9,1777.04,1897.53,1847.2,1734.47,1707.52,1768.76,1904.84,1770.18,1814.15,1814.6,1756.466,1782.763,1774.218,1829.24,1796.74,1908.67,1936.9,1885.748
CL00.NYM,73.97,75.63,78.95,71.92,79.97,81.43,84.11,91.38,92.19,96.97,106.72,113.93,102.7,95.42,95.7,88.81,79.2,93.19,100.36,98.83,98.4,106.86,102.9,104.89,86.53,84.82,88.06,96.47,92.19,86.08,88.7,91.82,97.46,91.85,97.23,93.13,91.61,96.49,105.32,107.76,102.29,96.24,,98.7,97.41,102.55,101.56,99.69,102.93,105.51,98.15,95.84,91.0,80.7,65.99,53.71,47.85,49.52,47.49,59.6,60.23,59.4,46.77,48.16,45.34,46.39,41.68,37.07,33.74,33.9,38.11,45.99,48.84,48.4,41.38,44.86,48.05,46.76,48.98,53.89,52.8,54.0,50.85,49.19,48.63,46.33,50.17,47.09,51.64,54.64,57.42,60.1,64.77,61.55,64.91,68.57,67.1,74.29,68.42,69.88,73.55,64.86,50.72,45.81,54.02,57.25,60.18,63.47,53.36,58.2,57.89,55.16,54.24,54.14,55.42,61.21,51.63,45.26,20.1,19.09,35.32,39.82,40.43,42.82,39.86,35.72,45.06,48.42,52.14,61.66,59.43,63.49,66.63,73.46,73.81,68.51,75.12,83.22,67.0,75.45,88.15,95.82,101.2,102.09
